wave[A] flux[Arbitrary]
600 0.43094
615 0.44323
630 0.45596
645 0.46960
660 0.48325
675 0.49693
690 0.51208
705 0.52726
720 0.54246
735 0.55876
750 0.57561
765 0.59304
780 0.61047
795 0.62904
810 0.64761
825 0.66738
840 0.68716
855 0.70822
870 0.72929
885 0.75172
900 0.77415
915 0.79804
930 0.82193
945 0.85730
960 0.86623
975 0.95178
990 1.07563
1005 1.07176
1020 1.13037
1035 1.31394
1050 1.25656
1065 1.07870
1080 1.01521
1095 0.97583
1110 0.98464
1125 0.97132
1140 0.94692
1155 1.00495
1170 1.13155
1185 1.39529
1200 2.85457
1215 4.91163
1230 3.37746
1245 2.15063
1260 1.53847
1275 1.23862
1290 1.09492
1305 1.09216
1320 1.09126
1335 1.09410
1350 1.08229
1365 1.06314
1380 1.19463
1395 1.25124
1410 1.15810
1425 1.07623
1440 1.00000
1455 0.99759
1470 1.00926
1485 1.04909
1500 1.11640
1515 1.19745
1530 1.70588
1545 1.93848
1560 1.61943
1575 1.37076
1590 1.15729
1605 1.13919
1620 1.14730
1635 1.20784
1650 1.18967
1665 1.13214
1680 1.04279
1695 0.98650
1710 0.99630
1725 1.00634
1740 1.01650
1755 0.99781
1770 0.98423
1785 0.98087
1800 0.97780
1815 0.97487
1830 0.98531
1845 1.00893
1860 1.05894
1875 1.15487
1890 1.27375
1905 1.32408
1920 1.28608
1935 1.07140
1950 0.96609
1965 0.91546
1980 0.90722
1995 0.90111
2010 0.89927
2025 0.89493
2040 0.88934
2055 0.91568
2070 0.93089
2085 0.92381
2100 0.91012
2115 0.89312
2130 0.87989
2145 0.86804
2160 0.85897
2175 0.85257
2190 0.84752
2205 0.84937
2220 0.84832
2235 0.84146
2250 0.84874
2265 0.86311
2280 0.88658
2295 0.90903
2310 0.92943
2325 0.93529
2340 0.93387
2355 0.92291
2370 0.91629
2385 0.91834
2400 0.93308
2415 0.95416
2430 0.95492
2445 0.95643
2460 0.95942
2475 0.95958
2490 0.95832
2505 0.95910
2520 0.95815
2535 0.95376
2550 0.94525
2565 0.93467
2580 0.92403
2595 0.91901
2610 0.92524
2625 0.91675
2640 0.90091
2655 0.89222
2670 0.88925
2685 0.89771
2700 0.91512
2715 0.93699
2730 0.97384
2745 1.01231
2760 1.05402
2775 1.21127
2790 1.42629
2805 1.36001
2820 1.26658
2835 1.11887
2850 1.03334
2865 0.97891
2880 0.95125
2895 0.92889
2910 0.91710
2925 0.92740
2940 0.94876
2955 0.94526
2970 0.93663
2985 0.91775
