wave[A] flux[Arbitrary]
7000 0.00000
7500 0.02325
8000 0.06474
8500 0.10214
9000 0.13608
9500 0.16691
10000 0.19503
10500 0.22092
11000 0.24464
11500 0.26655
12000 0.28691
12500 0.30568
13000 0.32314
13500 0.33942
14000 0.35464
14500 0.36886
15000 0.38218
15500 0.39467
16000 0.40639
16500 0.41742
17000 0.42780
17500 0.43759
18000 0.44684
18500 0.45561
19000 0.46388
19500 0.47164
20000 0.47902
20500 0.48605
21000 0.49277
21500 0.49901
22000 0.50500
22500 0.51074
23000 0.51613
23500 0.52126
24000 0.52622
24500 0.53084
25000 0.53529
25500 0.53956
26000 0.54355
26500 0.54744
27000 0.55107
27500 0.55459
28000 0.55792
28500 0.56110
29000 0.56416
29500 0.56705
30000 0.56986
30500 0.57240
31000 0.57494
31500 0.57741
32000 0.57963
32500 0.58185
33000 0.58399
33500 0.58592
34000 0.58785
34500 0.58973
35000 0.59139
35500 0.59305
36000 0.59471
36500 0.59614
37000 0.59755
37500 0.59897
38000 0.60026
38500 0.60145
39000 0.60264
39500 0.60383
40000 0.60483
40500 0.60581
41000 0.60680
41500 0.60774
42000 0.60854
42500 0.60934
43000 0.61014
43500 0.61088
44000 0.61151
44500 0.61214
45000 0.61277
45500 0.61336
46000 0.61384
46500 0.61432
47000 0.61479
47500 0.61527
48000 0.61561
48500 0.61595
49000 0.61629
49500 0.61663
50000 0.61691
50500 0.61712
51000 0.61733
51500 0.61755
52000 0.61776
52500 0.61788
53000 0.61799
53500 0.61809
54000 0.61819
54500 0.61829
55000 0.61830
55500 0.61830
56000 0.61830
56500 0.61830
57000 0.61830
57500 0.61823
58000 0.61814
58500 0.61805
59000 0.61796
59500 0.61787
60000 0.61775
60500 0.61758
61000 0.61741
61500 0.61724
62000 0.61706
62500 0.61689
63000 0.61667
63500 0.61643
64000 0.61618
64500 0.61594
65000 0.61570
65500 0.61546
66000 0.61516
66500 0.61485
67000 0.61455
67500 0.61424
68000 0.61394
68500 0.61363
69000 0.61329
69500 0.61293
70000 0.61256
70500 0.61220
71000 0.61184
71500 0.61148
72000 0.61111
72500 0.61070
73000 0.61028
73500 0.60987
74000 0.60946
74500 0.60905
75000 0.60864
75500 0.60821
76000 0.60776
76500 0.60731
77000 0.60686
77500 0.60640
78000 0.60595
78500 0.60550
79000 0.60503
79500 0.60454
80000 0.60405
80500 0.60356
81000 0.60307
81500 0.60258
82000 0.60209
82500 0.60160
83000 0.60109
83500 0.60057
84000 0.60005
84500 0.59953
85000 0.59901
85500 0.59849
86000 0.59796
86500 0.59744
87000 0.59690
87500 0.59635
88000 0.59580
88500 0.59526
89000 0.59471
89500 0.59416
90000 0.59361
90500 0.59307
91000 0.59250
91500 0.59193
92000 0.59136
92500 0.59080
93000 0.59023
93500 0.58966
94000 0.58909
94500 0.58852
95000 0.58795
95500 0.58736
96000 0.58678
96500 0.58619
97000 0.58560
97500 0.58502
98000 0.58443
98500 0.58385
99000 0.58326
99500 0.58267
100000 0.58207
100500 0.58147
101000 0.58087
101500 0.58027
102000 0.57967
102500 0.57907
103000 0.57847
103500 0.57787
104000 0.57727
104500 0.57666
105000 0.57605
105500 0.57544
106000 0.57483
106500 0.57422
107000 0.57361
107500 0.57300
108000 0.57239
108500 0.57178
109000 0.57116
109500 0.57055
110000 0.56993
110500 0.56931
111000 0.56869
111500 0.56808
112000 0.56746
112500 0.56684
113000 0.56622
113500 0.56561
114000 0.56499
114500 0.56437
115000 0.56374
115500 0.56312
116000 0.56250
116500 0.56188
117000 0.56125
117500 0.56063
118000 0.56001
118500 0.55939
119000 0.55877
119500 0.55814
120000 0.55752
120500 0.55689
121000 0.55627
121500 0.55564
122000 0.55502
122500 0.55440
123000 0.55377
123500 0.55315
124000 0.55252
124500 0.55190
125000 0.55127
125500 0.55065
126000 0.55003
126500 0.54940
127000 0.54878
127500 0.54815
128000 0.54753
128500 0.54690
129000 0.54628
129500 0.54566
130000 0.54503
130500 0.54441
131000 0.54378
131500 0.54316
132000 0.54254
132500 0.54192
133000 0.54129
133500 0.54067
134000 0.54005
134500 0.53943
135000 0.53881
135500 0.53818
136000 0.53756
136500 0.53694
137000 0.53632
137500 0.53570
138000 0.53508
138500 0.53446
139000 0.53384
139500 0.53323
140000 0.53261
140500 0.53199
141000 0.53137
141500 0.53075
142000 0.53013
142500 0.52952
143000 0.52890
143500 0.52828
144000 0.52767
144500 0.52705
145000 0.52644
145500 0.52583
146000 0.52522
146500 0.52460
147000 0.52399
147500 0.52338
148000 0.52276
148500 0.52215
149000 0.52154
149500 0.52093
150000 0.52031
150500 0.51970
151000 0.51910
151500 0.51849
152000 0.51789
152500 0.51728
153000 0.51667
153500 0.51607
154000 0.51546
154500 0.51486
155000 0.51425
155500 0.51364
156000 0.51304
156500 0.51243
157000 0.51183
157500 0.51122
158000 0.51063
158500 0.51003
159000 0.50943
159500 0.50883
160000 0.50824
160500 0.50764
161000 0.50704
161500 0.50644
162000 0.50584
162500 0.50525
163000 0.50465
163500 0.50405
164000 0.50345
164500 0.50286
165000 0.50226
165500 0.50167
166000 0.50109
166500 0.50050
167000 0.49991
167500 0.49932
168000 0.49873
168500 0.49814
169000 0.49755
169500 0.49697
170000 0.49638
170500 0.49579
171000 0.49520
171500 0.49461
172000 0.49402
172500 0.49343
173000 0.49286
173500 0.49228
174000 0.49170
174500 0.49112
175000 0.49054
175500 0.48996
176000 0.48939
176500 0.48881
177000 0.48823
177500 0.48765
178000 0.48707
178500 0.48650
179000 0.48592
179500 0.48534
180000 0.48476
180500 0.48418
181000 0.48361
181500 0.48304
182000 0.48248
182500 0.48191
183000 0.48134
183500 0.48077
184000 0.48021
184500 0.47964
185000 0.47907
185500 0.47851
186000 0.47794
